Candidate_Entity.id,Candidate,Num_of_Records,Total_dollar
24844946,"TERRELL, KEVIN",22,12185.97
24844942,"JOHNSON, HEATHER",0,0
24844941,"HENNINGSGARD, SANDRA",0,0
24844938,"BOOKS, TOM",0,0
24844723,"ZAHNTER, ALVIN E",0,0
24844722,"WOLF, MILTON",1200,1279219.18
24844720,"TAYLOR, CHAD",191,219379
24844719,"SMITH, D J",7,6569.07
24812539,"KOKOSKI, MICHAEL",0,0
24812539,"KOKOSKI, MICHAEL",0,0
24812537,"FRIEL JR, HARRY J",0,0
24812536,"EVANS, BRIAN",0,0
24812534,"ALLISON, JOY",0,0
24811714,"MILLER, BRYAN EDWARD",8,19941.87
24811713,"HARDY, CHARLIE",104,51723.91
24811711,"GREGORY, JAMES (COALTRAIN)",0,0
24811709,"CLIFTON, ARTHUR BRUCE",0,0
24799879,"CAREY, THOMAS L",0,0
24761963,"WALKER, THOM M",0,0
24761957,"KILE, ZACHARY A",0,0
24761956,"JARAMILLO, JOHN M",0,0
24761954,"BRYK, WILLIAM (BILL)",0,0
24630199,"JENKINS, JAMES JEFFREY (JIM)",141,306976.1
24499650,"MANESS, ROBERT L",11723,3014762.18
24499650,"MANESS, ROBERT L",568,601868.27
23599994,"SCHROEDER, HANK",0,0
23442587,"INHOFE, JIM",5042,4058842.97
23442586,"WYATT, ERICK PAUL",0,0
23442584,"MOYE, ROB",0,0
23442583,"MCBRIDE-SAMUELS, D. JEAN",0,0
23442582,"WOODS, RAY",0,0
23442581,"FARR, JOAN",11,9450.75
23442580,"DELOZIER, AARON",0,0
23442578,"WEGER, JASON",7,4550
23442577,"MCCRAY, ERIC C",0,0
23442576,"CROW, KEVIN",31,5499
23442575,"CRAIG, ANDY",0,0
23442573,"JOHNSON, CONNIE",194,133258.81
23442571,"HAYES, PATRICK MICHAEL",0,0
23442358,"ALEXANDER III, WILLIAM THEODORE (TED)",39,31650
23442357,"HARRIS, MARK EVERETTE",1252,893947.53
23442356,"SNYDER JR, JAMES EUGENE",1,1610
23442355,"GRANT, HEATHER ANDERSON",11,5289
23442354,"BRANNON, GREGORY J",3324,1146309.15
23442354,"BRANNON, GREGORY J",423,307007.68
23442353,"KRYN, EDWARD THADDE",0,0
23442352,"BRADSHAW, ALEX LEE",0,0
23442350,"HAUGH, SEAN NEWTON",33,10433
23442349,"STEWART JR, WILLIAM CURTIS",0,0
23442347,"REEVES, ERNEST TYRONE",0,0
23442347,"REEVES, ERNEST TYRONE",0,0
23424848,"TYLER, RICK",0,0
23424847,"SALEKIN, C",0,0
23424846,"PHILLIPS, BARTHOLOMEW J",0,0
23424845,"PAGE, DANNY",3,1221
23424840,"MAGEE, ERIN KENT",0,0
23424838,"KING, JOHN D",0,0
23424834,"JAMES, JOSHUA",0,0
23424830,"GAUTHIER, EDMUND L",0,0
23424828,"EMERSON JR, TOM",0,0
23424817,"ALEXANDER, LAMAR",5434,7988085.47
23424816,"AGNEW, CHRISTIAN",1,200
23424628,"MOORE, SIDNEY",0,0
23424620,"MACE, NANCY",819,624506.21
23424619,"BOWERS, DET",600,540667
23424618,"DUNN, BENJAMIN",27,12502.22
23421459,"GOLDBERG, BRIAN D",12,3495
23421458,"BELL, JEFF",558,572322.11
23421449,"ANDERSON, JEREMY (T)",0,0
23421448,"MITCHELL, NELS",439,309699.79
23421228,"LAWS, JERRY J",0,0
23420993,"STOKES, STEVE",47,8674.92
23420925,"EMKEN, ELIZABETH",1094,918877.71
23402174,"STEWART, FAYE",103,149390
23353806,"SASSE, BENJAMIN E",6091,6455186.88
23353805,"OSBORN, SHANE",1918,1806094
23353804,"JOHNSON, CLIFTON R",12,6077
23353803,"DINSDALE, SID",1152,1023564.28
23353721,"WHITAKER, MATT",544,436094
23353228,"PRESSLER, LARRY",239,585644.2
23353227,"BOSWORTH, ANNETTE",4322,2148989.35
23353133,"RAVNSBORG, JASON",65,12227.8
23350880,"CLEMENTS, DAVID KALE",123,97651
22209765,"CRAWLEY, TIMOTHY I",78,8712
22206519,"RAWL, JONATHAN",0,0
22206518,"MARCY, BILL",0,0
22206516,"COCHRAN, THAD",4887,7029108.02
22206494,"CUNDIFF, SUSAN",0,0
22206490,"ADAMS, DIRK S",378,154650
22206035,"ROBINSON, TODD ANTHONY",7,24562
22206032,"NUNN, MARY MICHELLE",23878,15010806.85
22206028,"GRAYSON, DERRICK E",35,21638.23
22206026,"RADULOVACKI, BRANKO (RAD)",555,193454.35
22206025,"GARDNER, ARTHUR A (ART)",99,89646
22197154,"SILVERSTEIN, MATT",593,454009.66
22185237,"SCHERR, MAXEY MARIE",217,57833
22185232,"KIM, HARRY",8,18821
22185230,"FJETLAND, MICHAEL (FJET)",0,0
22185220,"VEGA, LINDA",45,11875
22185212,"REASOR, REID DAVID",0,0
22185205,"COPE JR, KENNETH CLIFFORD",11,23882
22185189,"MAPP, CHRIS",142,73871
22073738,"LAFRANCE, NATHAN",0,0
22025634,"SESSIONS, JEFF",999,1559082
21776748,"WAMSLEY, DAVID B",14,39568
21776747,"MELTON, DENNIS",0,0
21776746,"DODRILL, MATTHEW",3,5410
21123308,"JUDGE, PATTY",6067,648240.86
21100972,"SCHABEN, SCOTT",32,19541
20876745,"SABAS, ANTONIO NICO",1,1000
20876745,"SABAS, ANTONIO NICO",0,0
20876731,"RESSLER, THOMAS",0,0
20876729,"REBICH, DANIEL SCOTT",0,0
20876727,"KUBIC, FRANK T",0,0
20876725,"HOWARD, ALBERT",0,0
20876724,"BRUNER JR, HARRY C",0,0
20876721,"RASH JR, JAMES W",0,0
20876720,"MILLER, GLENN A",0,0
20876719,"DEVARD, SAMTRA",0,0
20876717,"BOURGEOIS, MAURICE F",0,0
20847971,"STERLING, SHAWNA",0,0
20847971,"STERLING, SHAWNA",0,0
20847970,"PAYNE, CHRIS",0,0
20847967,"COPAS, BRAD",0,0
20847965,"RECKTENWALD, TOM",0,0
20847964,"LEICHTY, GREGORY BRENT",0,0
20810412,"STAMPER, JEREMY M (JAY)",48,59951.67
20539033,"LEACH, RONALD ALLEN",26,15139.07
20537068,"DEPASQUALE, ROBERT",0,0
20537067,"MEISSNER, STUART DAVID",0,0
20537065,"STACKHOUSE JR, EDWARD",0,0
20537057,"HEOS, RICHARD A",5,46970
20536461,"WILLIAMS, PETER",0,0
19898649,"WILLIAMS, SCOTT H",9,2445
19898633,"LAWRENCE, CECILE A",0,0
19898632,"HUFF, JOSEPH",0,0
19898614,"FINN, STEPHEN M",0,0
19898607,"MOVER, THE MIKE",0,0
19898606,"SCHALK, LEONARD",0,0
19898605,"GRUBER, NORMA D",0,0
19898604,GOODSPACEGUY,0,0
19898602,"BURR, BOB",0,0
19898588,"NUNES, JOHENRY",0,0
19898585,"CAIN, STEPHEN J",0,0
19898576,"KAMERATH, BRIAN E",0,0
19898575,"CODY, JUDY",0,0
19898573,"CHIU, DAVID Y",0,0
19898471,"MCDONALD, GADDY SUSAN",0,0
19898454,"WOODLAND, WALTER H",0,0
19898453,"WALDRON, KEITH",0,0
19898452,"PARKER, ROBIN S",0,0
19898451,"LATER, LOREN",0,0
19898450,"DINKEL, G SHANE",0,0
19898442,"DWYER, RONALD F",0,0
19898436,"SULLIVAN, ARTHUR T",0,0
19898383,"STERN, CECILIA",0,0
19898382,"STAND, WIL",0,0
19898381,"REEVES, JEFFREY C",0,0
19898379,"NADELL, BRIAN",0,0
19898378,"MILLER, ALEX",0,0
19898377,"MARINCH, GARY",0,0
19898374,"FASANO, TIM",0,0
19898333,"BOOTH, CHRIS",0,0
19898331,"BELOIN, GERARD",0,0
19898330,"ALCIERE, TOM",0,0
19898330,"ALCIERE, TOM",0,0
19898320,"HANSON, KEITH J",0,0
19898299,"NOLAN, JIM",0,0
19898298,"LINNEY, LARRY",0,0
19898297,"JONES, BRAD",0,0
19898295,"GENAY, MICHAEL",0,0
19898269,"WOLFE, RICHIE L",0,0
19898268,"WIRICK, JEFF",0,0
19898267,"VANGELI, FRANCIS J",0,0
19898264,"SOLOMON, DEBORAH",0,0
19898263,"PRAPROTNIK, R L",0,0
19898262,"NICHOLS, KRISTI",0,0
19898262,"NICHOLS, KRISTI",0,0
19898261,"FRAZIER, GLENN MILLER JR",0,0
19898260,"MARTELLARO, JOE",0,0
19898259,"HOINOSKI, DALE M",0,0
19898176,"WHITTINGTON, DENISE L",0,0
19898175,"VENDETTI, EDDIE",0,0
19898174,"TAYLOR, SANQUETTA",0,0
19898172,"SHAWVER, RICHARD",0,0
19898172,"SHAWVER, RICHARD",0,0
19898170,"PODLESAK, MARY CATHERINE",0,0
19898169,"LYNCH JR, JAMES T",0,0
19898168,"KUMP, GREGORY L",0,0
19898166,"KAPLAN, DONALD",0,0
19898165,"JAWORSKI, ANTHONY (BILLY BOB)",0,0
19898164,"KENNISS, HENRY",0,0
19898163,"GRAHAM SR, SAMUEL R",0,0
19898162,"EVANS, ROBERT J",0,0
19898161,"ASBURY, CLAUD L",0,0
19898146,"CHAFFEE, CHRISTOPHER PARRY (CHRIS)",0,0
19898123,"MELTON JR, SAM HOUSTON",0,0
19898122,"MCSHAN, WILLIAM R",0,0
19898121,"LAFARGUE, THOMAS G (TOMMY)",0,0
19898120,"HAYES, RANDALL TODD",0,0
19898119,"GALAN, R A (SKIP)",0,0
19898117,"CHAUVIN JR, NEESON J",0,0
19898116,"BROWN, MICHAEL KARLTON",0,0
19898115,"ACCARDO, NICK J",0,0
19898109,"WILSON, BILLY RAY",0,0
19898108,"STEPHENSON, JOHN",0,0
19898107,"SCRIBNER, JON J",0,0
19898106,"MARTIN, GURLEY L",0,0
19898100,"WIESNER, PATRICK",27,28876.51
19898100,"WIESNER, PATRICK",3,8500
19898100,"WIESNER, PATRICK",0,0
19898099,"LONDERHOLM, ROBERT(BOB)",0,0
19898098,"LITTLE, TOM",0,0
19898097,"DANN, MICHAEL WM",0,0
19898096,"CONROY, ROBERT A",0,0
19898059,"SMITH, CHRISTOPHER",0,0
19898057,"RAICHART, DARREN",0,0
19898056,"NAGAR, AVNER",0,0
19898054,"JONES, LEALAN M",0,0
19898054,"JONES, LEALAN M",0,0
19898028,"REINISCH JR, FREDERICK R",0,0
19898027,"DAVIS III, CLAUDE M (SKIP)",0,0
19898026,"BERGQUIST, RANDY LYNN",0,0
19898022,"HEIDERSCHEIT, JOHN",0,0
19898013,"JARRETT, JEFF",0,0
19898012,"BREWER, JIM",0,0
19898008,"DAVIS, STEVE",0,0
19898006,"BECKWORTH, RAYMOND",0,0
19898001,"TYLER, RICK",0,0
19898000,"QUARTERMAN-NOAH, BELINDA GAIL",0,0
19897998,"LOCK, RICHARD",0,0
19897997,"LAROSA, CAROL ANN JOYCE",0,0
19897996,"KOGUT, WILLIAM BILLY",0,0
19897995,"KNEPPER, HOWARD",0,0
19897995,"KNEPPER, HOWARD",0,0
19897994,"DRAKE, GEORGE",0,0
19897993,"ASKELAND, SUE",0,0
19897982,"OLSZTA, DAVID R",0,0
19897980,"GILES, JAY J",0,0
19897971,"RANK, ROBERT",0,0
19897970,"NEWMAN, MICHELE M",0,0
19897969,"MOROMISATO, J",0,0
19897968,"MILLER, CHARLEY",0,0
19897967,"LOHMILLER, BRUCE E",0,0
19897966,"KINSEY, BOB",0,0
19897951,"CONNOR, VLAKANCIC",0,0
19897950,"SALEHI, AL",0,0
19897949,"ROBERTS, DUANE",0,0
19897946,"KUGLER, HANS J",0,0
19897945,"HARRIS, JAMES E",0,0
19897943,"FEINLAND, MARSHA",0,0
19897877,"ELLIS, LOYD",0,0
19897876,"DUDIKOFF, SYDNEY",0,0
19897875,"CHAVEZ, SANTOS",0,0
19897856,"HERCHER, STEPHAN (TROUBLEMAKER)",0,0
19897849,"MOSER, N C (CLINT)",0,0
19897848,"DE MOORE, SIMONE D",0,0
19897846,"WHITTAKER, JED",0,0
19897845,"TOLBERT, GEORGIA LEE",0,0
19897843,"RICE, ANTHONY",0,0
19897842,"RANSOM, EILEEN M",0,0
19897841,"PERRY, KAREN",0,0
19897840,"MOSER, MARVIN ROGER",0,0
19897839,"MCGAHAN, RICHARD",0,0
19897838,"MARIN JR, EDWARD D",0,0
19897837,"LANDIS-BECK, MARJORI",0,0
19897836,"LACKEY, LISA M",0,0
19897835,"KLEMME, BILL",0,0
19897834,"KERN, JACOB SETH",0,0
19897833,"KELLY, ERIC C",0,0
19897832,"JOHNSON, PETTER M",0,0
19897831,"HUMPHRIES, ALAN D",0,0
19897830,"HILL, SIDNEY (SID)",0,0
19897830,"HILL, SIDNEY (SID)",0,0
19897829,"HAASE, FREDRICK (DAVID)",0,0
19897827,"GEORGE, DAVID S",0,0
19897826,"DILLINGHAM, CHRIS S",0,0
19897825,"CUMMINS, GUY A",0,0
19897824,"CROWELL, MARGARET A",0,0
19897823,"BUTLER, MICHAEL",0,0
19897822,"BRADLEY, RED K",0,0
19897821,"BOYLE, DAVID",0,0
19897820,"BEEMAN, VICKY L",0,0
19897819,"BEEMAN, DAVID E",0,0
19897818,"AUSTIN, KEVIN",0,0
19897817,"AMES, MICHAEL",0,0
19897815,"LABOTZ, DANIEL H",26,13587.84
19897813,"MYLES, MARK",46,9393.88
19897812,"BOOK, ETHAN",0,0
19897807,"COOK, MERRILL",26,39250
19897792,"FORRAS, VINCENT",8,8069.99
19897787,"THUNE, JOHN",19491,10709206.74
19897787,"THUNE, JOHN",13665,9421906.16
19897785,"MCCAIN, JOHN S",15730,23579686.8
19897785,"MCCAIN, JOHN S",12007,13160428.22
19897738,"BECKER, JEFFREY CONRAD",0,0
19897734,"PINKNEY, INA",0,0
19897734,"PINKNEY, INA",0,0
19897300,"SCALDAFERRI, THERESA C",0,0
19897300,"SCALDAFERRI, THERESA C",0,0
19897289,"ASBURY, BARRY STEVE",0,0
19897187,"SEIDA, LOWELL M",0,0
19897187,"SEIDA, LOWELL M",0,0
19897184,"LABNO, MIKE",0,0
19897184,"LABNO, MIKE",0,0
19897181,"BEARD, PATRICIA ELAINE",0,0
19897145,"MALLAN, LLOYD JEFFREY (JEFF)",0,0
19897116,"VACHON, TODD",0,0
19895313,"CARTER, TIM",0,0
19895302,"COHEN, NEIL H",30,14331.07
19895301,"HOLLAND, JESSE",60,3247.11
19895295,"ASHJIAN, SCOTT",0,0
19895288,"GRAY III, JOHN LANEY",37,2608
19895277,"ROONEY, JACK",3,12900
19895276,"DONOVAN, CHUCK",13,9344.7
19895271,"MILLER, JIM",0,0
19895243,"PAGELS JR, ERNEST J",2,2531.22
19895231,"LATIMER, MIKE",3,3330.18
19895221,"KOLLER, WILLIAM",0,0
19895220,"LEWIS, KELLY SPRING",0,0
19895172,"ESCOFFERY III, WILLIAM",4,36918
19895167,"BERNSTEIN, GARY",0,0
19895165,"BRADLEY, SCOTT N",96,48876.71
19895164,"DOUGHERTY, JOHN",577,156207.09
19895162,"SPEARS, MICHAEL LANE (MIKE)",71,106207.07
19895145,"HOOKER, LOREN",0,0
19895127,"STUTZMAN, TOM",8,1638.14
19895120,"SHEPARD, JACK",0,0
19895088,"LASZACS, TONY",3,30425.63
19895078,"KAUS, ROBERT M (MICKEY)",69,60192.08
19895027,"SIMMONS, MIKE",3,467.62
19895017,"WOERNER, ANDREW D (ANDY)",0,0
19895016,"VONTZ, MIKE",11,1347.84
19894970,"MERCER, JAMES (SKIP)",45,4364.33
19894969,"FINGER, JOHN",2,1117.07
19894944,"GORDON, MILTON",0,0
19894929,"LEWIS, JEROME ARMSTRONG",0,0
19894924,"BURKS, EDDIE",133,20836
19894882,"TAYLOR, ROB",6,6287.94
19894879,"BELLIS, JOSEPH(JOE) K",0,0
19894841,"BRITTON, LEN",261,226356.65
19894836,"DROWN, TREVOR",49,41211.62
19894830,"WARNER, MAC",11,15104.43
19894828,"CONWAY, DAVIS",6,4005.22
19894818,"STRINGER, MACLYN (MAC)",6,724.1
19894808,"BOYD, WILL",44,59106.88
19894808,"BOYD, WILL",0,0
19894796,"WORTHY, ANN",44,4565
19894792,"BEAN, BOBBIE",4,11634
19891126,"MCADAMS, SCOTT T",1822,1295059.92
19891116,"NOLAN, DAVID F",32,8948.67
19890933,"STEPHENS, DEMPSEY",9,1850
19890657,"HAYWORTH, J D",5173,3007702.8
19890614,"CAMPBELL, TOM",2641,2606935.06
19890610,"LEE, MIKE",11331,5478440.1
19890610,"LEE, MIKE",1250,1703731.03
19890460,"MARSHALL, ROBERT",6,69000
19890437,"SUOMINEN, TERRY",16,5004
19890421,"FREILICH, DANIEL",129,88167.93
19890397,"HADLEY, R J",10,12101.56
19890394,"THOMAS, KATHLEEN",111,31001
19890380,"HOFFMAN, DAVID",1711,1772512
19890379,"BEHNEY, RICHARD",130,76568.2
19890368,"ARRINGTON, JOHN",96,35815
19890359,"HUGHES, PATRICK J",283,623992.06
19890357,"LOWERY, DONALD (DON)",31,39561
