Candidate,Candidate_Entity:id,Num_of_Records,Total_dollar
"GIROD, FRED F",5281005,199,259306.56
"SUMMERFIELD, ROB",25823129,291,259078
"ZENZINGER, RACHEL",3708467,1688,258981.61
"KAGAN, DANIEL",18917813,1333,258613.58
"BROWN, TIMOTHY N (TIM)",6591846,303,258611
"GIROUX, DANIEL B",37884940,294,258336.25
"IVEY-SOTO, DANIEL A",6435742,338,258248.5
"GOODSON, TOM",71670,440,257826.66
"NARAIN, EDWIN (ED)",25004888,658,257011.1
"ROBSON, BOB",12997787,316,256964.17
"INMAN, SCOTT MICHAEL",13005113,331,256779.62
"DELGIORNO, ANTHONY (TONY)",38445113,164,256753.83
"TRAVIS, JHATAYN (JAY)",21084463,125,256747.29
"SCHMIDT, VICKI",6665772,907,256652.8
"GUILLEN, RYAN",6396741,283,256368
"CORCORAN, RICHARD M",490728,359,256058.34
"TREAT, GREG",6699346,447,256056.27
"VAN STIPPEN, BRYAN",40609606,965,255906.8
"SKINNER, STEPHEN G",6515243,902,255803.87
"BRIGHT III, MARVIN LEE",39714561,407,255673.06
"BRIDGES, JEFF",39571181,1297,255664.16
"VANDERWALL, CURT",39850000,559,255418.79
"HART, DEAN E",39755264,11,255146.24
"BELTRAMI, VINCE",9419689,1501,255019.15
"TURNER, BRIAN MILLS",23596470,1041,254652.1
"LAVENDER, DEBORAH (DEB)",3798991,678,254393.02
"BENTZ, CLIFF",4964521,291,254376.92
"JONES, ERIN",40335670,2256,254153.65
"MASSEY, BECKY DUNCAN",11030005,473,254150
"HILL, MARY",15562036,130,254043.05
"SHERICK, STEPHEN VINCENT (STEVE)",20655223,893,253755.6
"AMMONS, CAROL",21776713,188,253724.65
"MULLIN, MICHAEL P",42052805,186,253138.61
"RODRIGUEZ, ROBERT J",6512322,470,253056
"HOGG, ROBERT M",6013566,361,253025.78
"FRANKS, TRENT",1448924,290,252898
"FITZPATRICK, SCOTT M",11029646,270,252896
"FIELDS, JESS",37969641,918,252813.62
"URLACHER, CASEY",14421023,187,252745.25
"BONCORE, JOSEPH A",39762743,1006,252702.91
"SALMON, BRAD ANDREW",10886768,472,252392.79
"PARKER, KEVIN S",4004474,505,251911
"MILLER, ADAM C",6561574,218,251900.3
"WATKINS, JUSTIN",39827668,231,251782.79
"MEADOWS, JOHN",6621445,257,251521.24
"CALDIER, MICHELLE D",15737439,756,251357.86
"HELMS, STEVE",4043353,181,251268.92
"ADKINS, ROCKY J",6377115,435,250807.84
"JOHNSON COOK, SUZAN",38417432,648,250558.48
"PHILLIPSON, LORNA",33088527,171,250533.65
"PUGH, ADAM",39828160,265,250390.89
"DELEAR, BYRON W",6502586,340,250275.36
"HALL, LARRY D",6006438,459,250196.36
"BARRETT, DIDI",13009338,461,250165.01
"HAMMOND, GLENN MARTIN",39367446,40,250065.1
"DAVIDSMEYER, CHRISTOPHER (CD)",2724326,395,249972.73
"BEASLEY, CHAZ MICHAEL",38445162,880,249544.97
"JOHNSON, ERIC",6499586,437,249508.55
"NEWBERRY, DAN",6676627,440,248389.4
"HOWEY, BOB",39849859,311,248383.72
"CAPRIGLIONE, GIOVANNI",6681476,447,248170.39
"POWELL IV, ADAM CLAYTON",13009260,432,247741.94
"MAY, LARUBY",17426585,695,246865.94
"AVILA, BRYAN",15696405,363,246796.17
"DOWLING, MATTHEW DAVID",39434816,92,246159.5
"REEVES, KRISTINE",40587794,448,246108.53
"PAULIN, AMY R",4607228,469,245939
"BRONSON, HARRY B",6512359,665,245927.44
"MCLAIN, SUSAN",5181165,256,245861.71
"RIOS, IRENE",37971246,172,245513.75
"RYAN, SCOTT K",23442166,564,244876.06
"CARTER, DAN",40650528,203,244782.28
"HARPER, SONYA MARIE",35396271,216,244725.17
"TAYLOR, JEFFERY R",38601750,225,244689.08
"WAGER, MICHAEL",23442342,399,244338.96
"MCCORTNEY, GREG",39828115,330,244286
"SIMMONS, DAVID",41676643,447,244261.18
"ALCANTARA, MARISOL",41755708,232,244243
"SETZLER, NIKKI GILES",6388576,519,244232.14
"PAIVA-WEED, M TERESA",9577208,743,243960
"VANDENBURGH, SHELLI",38526120,312,243738.77
"CRADDICK, TOM",6582620,192,243638.27
"SIEGRIST, SALLY",38526100,159,243583.12
"JONES, JAN",6587196,293,243528.56
"ROMANO, MELISSA",39289472,2366,243181.37
"NELSON, ERV",23560427,166,243026.06
"THOMSON, ELIZABETH L",8990295,2243,242826.65
"MARTIN, SHANE",13013522,437,242339.28
"FATTAH, CHAKA",16565456,208,242044.42
"ELY, DAYMON B",9100256,479,242008.15
"RUIZ, AUSTIN",37969706,579,241969.86
"SOLOMON, JARED G",23442713,669,241746.11
"GRUTERS, JOE",41676839,522,241627.21
"MCDONOUGH, PAT",5154303,275,241579.14
"BARRETT, CHARLES DANIEL (DAN)",6014789,30,241402.41
"MCDOW, RONALD A",9349912,11,241051.96
"BREITBACH, MICHAEL",6021972,286,240718.47
"GINTER, TIM",26765095,439,240680.89
"LEE, DON B",41488462,528,240408.62
"PURCELL, TERESA",40587790,646,240295.31
"KINZLER, GORDON JAMES (JAY)",3279474,144,240169.45
"CLEVELAND, ANNETTE M",2674146,768,239796.45
"FUGATE, CHRIS",20537655,111,239745.01
"MORRISON, ALAN",6695721,105,239720.14
"DOWNING, KEVIN",37969715,210,239380.46
"SANDLIN, JACK E",38525933,245,239371.76
"BULLARD, DWIGHT",620935,566,238898.87
"PERALTA, JOSE R",13009220,312,238769
"DELA CRUZ, DONOVAN",6512542,559,238708.73
"TILLMAN, JERRY W",13012717,450,238575.53
"UNES, MICHAEL D",13000189,259,238555.22
"DICKENS, INEZ E",41755953,539,238267
"STEELE, VICTORIA",23310195,628,238256.04
"MARTINEZ, MICHELE",40485076,440,238194.56
"SBAIH, JESSE",38377929,247,238181.88
"WILLIS, COLM",38300331,326,238031.87
"SEAWRIGHT, REBECCA A",26179261,524,237891.84
"KEAN, JESSICA",41750366,176,237587.78
"HERRERO, ABEL",10244831,310,237355.01
"WALDRON, JOHN",39828156,1492,237350.57
"BARRETO, GREGORY L (GREG)",5012141,223,237110
"VIGIL, MICHAEL E",38107993,7,236991.13
"VARGAS, JULIE JEANENE",38107995,59,236679.71
"BRAUN, JOHN E",2649318,509,236607.69
"JAMES III, EDWARD",41676836,776,235995.24
"BRINKMAN JR, THOMAS E",2845480,575,235620.95
"JAUREGUI, SANDRA",39827532,203,235478.36
"BENITEZ-THOMPSON, TERESA",6508382,195,235415.82
"HARPER, MATTHEW",15203503,197,235194.18
"RODRIGUEZ, JUSTIN",10238390,324,235085.28
"STEFANICS, ELIZABETH LIZ",39176917,1248,234777.95
"MILLAR, FRANCIS",6573313,325,234568.49
"ROHANNA MCCLURE, ELIZABETH L",39434814,145,234511.01
"PATTERSON, WILLIAM RALPH",17760809,12,234420
"BONINI, COLIN J",1047503,246,234146
"BOWLING, IRENE",24812010,416,234134.05
"FERRITER, GEORGE",13880796,532,233640.98
"ARNTZEN, ELSIE M",6659833,933,233441.59
"MATTHEWS, ANDY",39827568,332,233151.62
"SENN, SANDRA J",15036527,498,233092.78
"RADER, KEVIN",291064,352,233084
"PATTI, CRAIG",2657983,320,232680.68
"TAYLOR, RICHARD",11022866,200,232630.96
"BELLOCK, PATRICIA R (PATTI)",3366306,282,232298.24
"ENGLUND, VICKI LORENZ",4023451,410,232242.67
"RIDDLE, PHLUNTE",39707343,665,232213.08
"MCCOLLEY, ROBERT",22119779,381,232137.69
"KELLY, LAURA J",6464585,810,232080.11
"MCCLELLAND, ERIN R",23442609,414,232003.16
"WOOD, BETH ANN",5847328,936,231858
"TRACY, JIL WALKER",2706708,265,231764.84
"DEFRANCISCO, JOHN A",6640240,225,231626.95
"HELMING, PAMELA A",41755774,199,231565.57
"SHAUL, DAN",21271927,263,231487.44
"ANDERSON, ELLIOT T",6508318,355,231253.01
"GREEN, RICHARD (RICK)",14379498,607,231170.77
"BETHEL, CHARLES J (CHARLIE)",6688972,297,231025.16
"CURTIS, DAVID LAMAR",5953261,483,230804.2
"SHIH, DANIEL J (DAN)",40587801,1198,230792.13
"COHEN, MARK B",4876140,301,230585.59
"MUSTIO, THOMAS MARK",13005628,374,230490.55
"LINDEEN, MONICA J",6396358,2079,230404
"MILLER, PETE",7160905,328,230170.47
"BRESLIN, NEIL D",13013083,351,230131.02
"RICHARD, STEPHANIE GARCIA",6502183,638,230076.83
"LAMBERT, STAN",37969735,301,229883.26
"GRACE, SARAH H",37970457,455,229697.92
"HINOJOSA, GINA",37969694,583,229691.23
"CORNEJO, ROBERT",11029547,344,229639.51
"BUCK, CARRIE",39827444,139,229627
"CHOPP JR, FRANK V",2639351,432,229338.61
"TABARES, SILVANA",6514770,144,229196.61
"WARNER, ANDREW MCCOY (MAC)",39705675,711,229123.64
"RADER, DAVE",39828158,531,229121.21
"VO, HUBERT",13007078,289,229045.98
"REYNOLDS, MARK S",39434531,258,228898.37
"SOULES, WILLIAM P (BILL)",11022579,507,228556.55
"ONDRACEK, KATRINA",40587779,224,228221.07
"RATTI, JULIA",39827607,243,228195.76
"STECHER, TOM",39447251,185,227948.58
"KIM, SAM",40587755,275,227766.6
"BEDELL, EILEEN M",42052614,606,227725.37
"ROGERS, DAVID",39707218,306,227592.54
"PALUMBO, GUY F",11951746,337,227476.43
"BRADY, DAN",13000174,355,227422.24
"WALSH, LAWRENCE M",3528756,292,227420.86
"NAKAMURA, JUDITH K",38107994,68,227274.9
"WENDT, ALEX",37970443,252,227195.18
"MAHER, JOHN A",5527720,304,227189.77
"ASSINI, MARK W",23598678,348,227061.99
"PEREZ-ESTOLANO, KATHERINE",39707342,632,227036.43
"OCONNOR, PATRICK M",39762749,873,226554.81
"HUTSON, TRAVIS",125042,420,226449.29
"VALESKY, DAVID J",4993935,266,226354.64
"KRAUSE, MATT",6681489,349,226341.2
"KASTENBAUM, DIANA K",42061944,225,226164.84
"IRON EYES, CHASE",40626247,202,225824.97
"PHILLIPS, GEORGE K",16135427,296,225752.29
"TILLERY, BLAKE",29678984,389,225711.16
"CHAPA LAVIA, LINDA",6515067,325,225678.47
"TURILLI JR, LESTER BENTON (LES)",42115265,225,225631.47
"HANKINS, STEWART ELLIS",27746570,557,225613.2
"EVANS, STACEY",6505514,586,225583.9
"LUNDBERG, JON C",6144047,288,225559.72
"FARRAR, JESSICA CRISTINA",13007074,311,225430.77
"STEPHENS, WILLIAM TODD",13006015,430,225344.91
"FRANK, JAMES",10238740,218,225331.33
"DELUCA, ANTHONY",6499098,334,225125.66
"HILL, JACK",13011435,354,225125.16
"NEARMAN, MICHAEL J (MIKE)",14010417,211,225076.77
"HOUSEHOLDER, LARRY L",6986567,266,225042.27
"CRESPO, FRED",6468210,239,224983.69
"RAJKUMAR, JENIFER",17609033,305,224813
"OLIVA, PHIL",40621504,283,224657.06
"CEPHAS, MORGAN B",39435080,288,224481.94
"SMALL, AMBER A",38280139,765,224320.36
"SCHIAVI, ANTHONY E",1596139,721,224091.43
"LIVINGSTONE, JAY",18982521,759,224032.75
"CAHILL, KEVIN A",13009328,352,223994.21
"PONDER, ALVIN",41755728,4,223860.5
"MAKO, ZACHARY A",39435060,103,223655.4
"STUBSON, TIMOTHY M",10144751,196,223587.13
"BURKE, KENNETH DEAN",6842336,296,223345.61
"GIDDINGS, HELEN",13007015,390,223308.56
"LININGER, ANN",4801338,395,223248.56
"NEMES, JASON MICHAEL",39494749,289,223174.77
"RODRIGUEZ, GREG",39707450,1065,222801.57
"DANIEL, MARTIN B",9359168,262,222310
"MULVERHILL, KEVIN A",41756057,163,222223.58
"MURR, ANDREW",22216289,367,222194.24
"LYKAM, JIM",6031326,351,221916.98
"PARKS, DAVID",13009126,157,221510.65
"STANDRIDGE, ROBERT M",8660820,285,221504.87
"PATTERSON, BOB",39707509,225,221434.33
"COOPER, SHARON",6573006,290,221265.31
"LASINSKI, DONNA",15621315,714,221181.44
"EMERY, EDGAR (ED)",3692364,244,221040.88
"PICHARDO, VICTOR M",11998733,245,220900
"WEPRIN, DAVID I",4964918,364,220801
"CROCKER JR, JAMES H",13012175,239,220721.16
"BERNIER, KATHLEEN M (KATHY)",3778948,807,220631.99
"JOHNSON, MATTHEW TODD",12260172,127,220610
"GOLDFINCH JR, STEPHEN L",11023587,424,220547.89
"SILVERSTEIN, IRA I",6381096,332,220457.99
"LUKE, SYLVIA J",6397206,357,220387.03
"MCGARVEY, MORGAN",12591706,298,220367.8
"PEOPLES, CRYSTAL",5088504,336,220282.38
"LUJAN, JOHN",37969815,172,220135.78
"NATHANSON, NANCY",6469164,283,219811.83
"LESKO, DEBBIE",12997825,251,219690.5
"PELATH, SCOTT DOUGLAS",13000269,240,219170.04
"REIGLE, HANS H",15293622,532,219043.57
"MCDANIEL, RANDY",8666028,110,219027.55
"WALLACE, DAVID",22027719,126,218683.4
"ROSE, BEN",37969844,687,218617.37
"RUCKER II, MARTIN",39656658,255,218473.12
"SCHWANK, JUDY",6513451,619,218218.53
"CHRISTOPHER, WARREN",21265618,84,217867.65
"MORSE, CHARLES W (CHUCK)",6595418,476,217856
"HERNANDEZ, ELIZABETH (LISA)",3015340,267,217799.06
"CHEOKAS, MICHAEL A",6459549,278,217385.15
"AVELLA, TONY",13013032,308,217284
"BREEN, PETER",13471011,276,217216.54
"HANSEN, DAVID N (DAVE)",3287409,1872,217074.44
"CHRISTENSEN, GORDON",3816518,342,217012.08
"MURPHY, GREGORY FRANCIS (GREG)",5975268,265,216975.81
"DREYER, DAVID",39525479,668,216812.44
"JURAS, KRISTEN",7665278,1315,216702.55
"MCCORMICK, GERALD",6658924,303,216600
"PETERS, CHRISTOPHER",24804207,189,216592.81
"KRUEGER, LIZ",4678562,209,216513.74
"HWANG, DIANA",15867072,578,216050.54
"HAYES JR, ROBERT WESLEY (WES)",6585316,493,216008.41
"ROMERO JR, RAMON",22205855,349,215936.73
"ADDABBO JR, JOSEPH P",6485373,332,215936
"TRIPP JR, DONALD L (DON)",9231255,203,215602.1
"ANGLE, SHARRON E",6596650,29,215573.28
"SYMS, MARIA",17722043,339,215514.6
"KRUSE, JEFF",5492479,223,215465.01
"BYDLAK, REBEKAH JOHANSEN",41676561,252,215156.87
"METCALF, WILLIAM (WILL)",22216279,561,214632.88
"SANDACK, RON",6700753,243,214289.76
"TOLLES, JILL",39827656,308,214204
"GROOMS, LARRY",6585286,412,214154.41
"ACKLIN, JAMES M",38445117,81,214120.63
"FRENCH, STEPHEN G",39176845,14,214010
"BRITT JR, DANNY EARL",38445193,132,213820.2
"ALLOR, SUE",179146,178,213444.88
"BROOKS, EDWARD ALLEN",2783008,1025,213232
"BLUMENFELD, ANDREW J",39707451,514,213019.45
"SPITZER, STUART",10238726,275,212954.7
"HARRIS, GREGORY",2694847,251,212819.21
"SPRINGER, DREW",10238735,372,212555.13
"CRESPO, MARCOS A",6512570,213,212439
"SPAULDING, KENNETH BRIDGEFORTH",38445527,680,212283.48
"SHEALY, KATRINA",13006497,622,212243.19
"KEITH, PAM",38541289,353,212185.22
"BLEYER, BRAD K",38445134,257,211918.38
"BROWN, MATTHEW",37970294,80,211812.84
"GERRITSON, BECKY",37970283,385,211574.31
"MURPHY, PATRICK JOSEPH (PAT)",6012786,445,211299.34
"RICHARDSON, WILLIAM O",38445483,261,211226.14
"EVANS, H D (CHIP)",39827480,414,211021.29
"MUNSON, CYNDI",23442381,793,210937.37
"DAVIS, THOMAS C",6676018,884,210808.4
"BOULTON, NATHANIEL R (NATE)",6124227,835,210666.58
"POTWORA, JOSEPH S",39434460,98,210530.34
"WESTBROOK, JAMEY",12998508,26,210282.38
"SIMMONS, JUSTIN J",13005948,372,210187.96
"MURPHY, AMANDA H",713359,398,209700.18
"WILLIAMS, LINDA HUNT",38445575,189,209624.03
"PARKER, TOM",13009752,123,209170
"MASON, T MONTY",5837396,258,209100.11
"UNTERMAN, RENEE S",6573288,265,209000.31
"DILAN, MARTIN MALAVE",6437860,227,208874
"LITALIEN, BARBARA",511710,1152,208866.19
"KING, TRACY O",6386860,344,208725.59
"HAM, ARTEMUS (ART)",39827510,198,208556.83
"FAVEDE, GINNY",15237000,487,208473.19
"ANTONIO, NICKIE J",3053351,548,208377.4
"WILLIAMS, EDDIE JOE",6682760,326,208057.82
"OLSON, ROBERT (ROB)",6612577,635,207989.75
"TUCKER SR, WYATT THOMAS",6685822,169,207900.59
"RODRIGUES, MICHAEL J",1758292,948,207477.37
"WAGLE, SUSAN",6626103,443,207456.12
"MASSEY, ANTHONY SHANE",13013535,419,207298.17
"VON IMHOF, NATASHA A",22217836,716,207272.22
"MASON, DAN",6700109,111,207247.03
"GIESSEL, CATHERINE A (CATHY)",6692565,649,207158.77
"SUKHIA, KEN",40433972,109,206903.3
"GUNN JR, RICHARD W (RICK)",6674307,210,206875.97
"WALTHERS, LANE",40587824,211,206752.73
"KOLOWSKI, RICK",10238624,184,206674.84
"DRURY, SCOTT",6514994,207,206559.97
"LAVALLE, KENNETH P",6640373,392,206457.51
"LEIKEN, SIDNEY W",39434574,169,206386.27
"BURNER, DARCY",40587706,1036,206363.39
"GONGORA, MICHAEL",14359059,379,206294.78
"DOVILLA, MICHAEL D (MIKE)",6687442,499,205555.25
"CAMPBELL JR, PAUL G",6676006,343,205424.16
"ROMERO, ANE C",39176852,675,205411.86
"MITCHELL, BO",6443135,152,205164.27
"WILLIAMS, ANN M",6498894,253,205115.05
"EVERS, GREG",487828,185,205114.05
"BROOKS, CHRIS",39827442,252,205031.74
"LEEK, TOM",42540514,447,204641.82
"SAPIEN, JOHN M",6488438,453,204640.72
"CUSICK, MICHAEL J",5298095,737,204533.65
"WOODS, LAURA J",23439523,1142,204347.64
"PEYTON, HARVEY D",3328798,127,204300.22
"HENSLEY, JOSEPH (JOEY)",6607468,331,203876.86
"MILOSCIA, MARK A",3800343,851,203635.12
"CANTWELL, JAMES M",224965,1736,203422.61
"RAYFIELD, DANIEL A",5023813,296,203299.58
"YOUNG, R MICHAEL",6591643,266,203063.95
"VAN DUYN, TERESA QUAID (TERRY)",5854151,667,202993.14
"SMITH, RICHARD H",6663063,230,202876.31
"PAYNE, BOBBY",41676705,564,202857.27
"PETERS, J CHRISTOPHER",8479904,173,202830.24
"MADDEN, MAUREEN E",11022988,196,202746.19
"BROOKINS JR, HOWARD",38444975,267,202368.61
"JEFFARES, RICHARD M (RICK)",13011461,288,202312.21
"TALLEY, SCOTT F",13006369,293,201902.63
"STEWART, KAREN W",6461341,374,201667.79
"FARNEY, MARSHA",6681617,217,201652.84
"JONES III, EMIL",13011788,198,201244.63
"ROMMEL, BOB",41676883,450,201003.05
"DOTY, NANCY A",14187770,1101,200880.27
"GANAHL, HEIDI A",19239910,794,200866.61
"ARREDONDO, LORENZO",42136124,368,200777.87
"STEINBORN, JEFF",6466473,642,200357.56
"SNOW, LLOYD W",39828153,595,200269.12
"FINE, LAURA",12999961,310,200034.3
"POPPITI III, CIRO",8418427,383,199964.44
"BALCHUNIS, MARY ELLEN",23442600,520,199548.65
"BROCK, RANDY",40588698,315,199500
"COURSON, JOHN E",8246680,344,199446.16
"WICKS, KELLY",13004483,358,199067.34
"ROSE, TONI",10238382,342,198838.35
"WALSH, JAMES W (JIM)",40343757,352,198718.55
"RIEDEL, CRAIG",27954774,263,198568
"EGOLF JR, BRIAN FRANKLIN",6488319,456,198425.82
"LASONDE, JOAN (MCCARTHY)",38444991,232,198304.6
"UPTHEGROVE, DAVID P (DAVE)",2768659,912,198077.17
"MAY, JENISE",40461512,754,197934.4
"MEREDITH, STEPHEN L",9179679,189,197536.53
"REYKDAL, CHRIS P",13007697,970,197425.65
"PETKOVICH, IVETTE GONZALEZ",41676877,372,197057.26
"KOEHLER, KYLE",18906040,475,196868.61
"ORENTLICHER, DAVID",38525885,536,196727.65
"DEEB, GREGORY PATRICK (GREGG)",37969977,140,196605.72
"NYGREN, JOHN",3006801,975,196372.84
"TEKORIUS, EVON L",39434512,110,196212
"SCHENCK, DAVID JOHN",10235250,276,196200.54
"HILL, WALTER BRYAN (MIKE)",569817,335,196192.81
"GERRATANA, THERESA BIELINSKI (TERRY)",6415186,443,196189.4
"MASTERSON, TY",6671671,420,196114.15
"CURRIE, BARBARA FLYNN",12999979,238,196070.2
"GOMES, EDWIN A",7950643,469,195966
"MOORE, MARILYN V",6495404,428,195628.86
"HANLEY, KEVIN",39707376,207,195623.38
"WIESE, PHIL",39447273,218,195450.26
"HAYS, CHAD D",2796548,287,195366.86
"SKILLICORN, ALLEN",12432694,124,195104.63
"CRAWFORD, SUE",10238633,348,195049.45
"RODRIGUEZ, EDDIE",6387012,335,194983.75
"VANMETER, JOHN",18293552,110,194411.79
"WILSON, DAVID J (DAVE)",3593135,59,194370.44
"POLLOCK, DAVID",18695011,488,194092.43
"BOWLING, JANICE",9394277,371,193798.23
"TIMMONS IV, WILLIAM R",36650651,343,193712.03
"ASHOOH, RICH",9706897,236,193675.22
"WILSON, TERRY",37969651,161,193533.77
"JOHNSON, CATHY",42430823,234,193409.8
"BRILL, SUSAN A",6660580,211,193165.46
"QUART, DAN",6513623,524,192880
"MESNARD, J D",6690618,341,192867.68
"STURLA, PETER MICHAEL",6375684,432,192573.54
"CAMILLERI, DARRIN",15617984,1121,192241.91
"COLEMAN, CREIGHTON B",13006390,450,192002.92
"ANDERSON, LEE",6620668,233,191950.16
"GORDON, JIM",39451316,253,191673.25
"MCCALL, CHARLES A",11029712,169,191596.48
"GOODMAN, ROGER E",13007917,589,191586.75
"LAVENDER, GEORGE",6679735,92,191540.86
"WRAY, JOHN",22216270,374,191428.68
"HAGER, MICHAEL DEAN (MIKE)",5930896,181,191333.2
"RIVERS, DONOVAN LAMONT (DON)",17658732,65,190726.79
"LAFFERTY, LACEY",22204018,126,190299.67
"PALUMBO, COREY",6386025,467,189994.42
"OKERLUND, RALPH",13013684,192,189976.42
"MEYER, RUSS",16400559,243,189894.95
"FERRARY, JOANNE JEAN",11022414,513,189588.1
"HOWELL, GARY W",493737,547,189418.89
"HUMMEL, JACOB W (JAKE)",3691303,280,189333.3
"GREYTOK, JOHN",37969878,84,189252.19
"TRUMBULL, JAY",25005017,353,188973.81
"HIPPS, JANE BATES",5900991,1002,188816.31
"JONES, WILLIAM BURTON (BURT)",12377849,273,188780.15
"STELLA, DOMINICK J",28640313,23,188751.5
"BRACY III, RANDOLPH",11029342,259,188409.7
"BROWN, CLORIA",3692286,401,188407.29
"WILKINSON, JOHN K",6699307,310,188098.4
"TREADWELL, SHERI",25082027,529,188030.83
"LLOYD, SARAH",15263123,230,188008.84
"THOMPSON, GERALDINE F",22592,183,187954.92
"MUNOZ, GEORGE K",9025927,238,187882.46
"GOLDHAMER, AARON DAVID",6008697,1923,187757.93
"DEMAREE, ANGELA",38525878,276,187686.48
"DAVIS, AL",10238629,284,187569.48
"RILEY, AL",2666968,263,187486.4
"DAVIDSON, MARGO L",13006050,220,187269.5
"GALVAN, ISAAC",39707358,138,187096.15
"MICCARELLI, NICHOLAS ANTHONY",13006045,208,186959.84
"HIGGINS, CLAY",41316479,114,186621.27
"LATURNER, JACOB",6677579,366,186591.94
"TUURA, ELIZABETH ANN",29027,573,186505.96
"WYSS, JON",40587959,535,186441.93
"NAHMIAS, DAVID E",13009939,312,186428.72
"NAKANISHI, ALAN",13008479,216,186378.84
"STADELMAN, STEVEN (STEVE)",6514912,309,186306.87
"ELLENSON, CORY",38601235,389,186040.16
"HILL, BRIAN D",2898334,493,185967.34
"BILLIG, ANDREW S (ANDY)",2648695,463,185764.32
"DIETZ, RICHARD DONALD",38445257,594,185762.52
"GREENE, RYAN BRADY",40377359,193,185654
"COLEMAN, ERIN",39714786,401,185439.63
"REIS, DAVID B",3060544,280,185413.64
"MAXWELL, HOWARD R",6587130,264,185300.31
"SOTO, CYNTHIA",3527136,196,185267.45
"ALEXANDER, RAMON",25901274,1396,185168.17
"MOTH, CHRIS",15988426,126,185094
"CAMPBELL, JANE",42578398,596,185042.05
"COOK, DONALD",23442828,117,184867.25
"PYLE, RONALD S",39714594,143,184768
"MILTON, MARK",39656756,560,184733.21
"MISENHEIMER, JAY",37969631,221,184643.85
"DENNING, JIM",3847828,432,184610.79
"VARGAS, TONY",39451297,197,184368.16
"KHOURY, ANTON (TONY)",15914919,58,183921.75
"BOHAC, DWAYNE",11568863,196,183870.66
"SCHMUCK, FRANK",25726562,306,183833.44
"LONGBINE, JEFF",13011945,436,183782.08
"WILLIAMSON, JAYER",11029291,391,183717.4
"SHIOZAWA, BRIAN E",10886880,198,183664.83
"MCCUSKEY, JOHN B (JB)",6700877,521,183645
"NEWELL, PAUL",13009249,803,183535.75
"KESSLER, JEFFREY V",6447959,591,183535
"NIKPOUR, NOELLE",35973020,204,183327
"MCCALL, MATT",17953208,143,183108.39
"GUDMAN, JEFFREY M (JEFF)",5350444,380,183033.42
"DALY, KAY RYON",40620469,170,182915.57
"ROGERS, LYNN W",15840866,868,182675.52
"YIN, PHILLIP",40587934,287,182652.71
"DAGNESSES, RAFAEL ALBERTO",21255503,288,182643
"LLOYD, JAMES",37969922,123,182520.83
"MCCOY, JET",39828116,296,182464.47
"CIRESI, JOSEPH P",39434981,277,182445.78
"HERALD, GARY WAYNE (TOBY)",12591696,88,182202.08
"RILEY, STEVE",9291660,246,182032.7
"KLOBA, SHELLEY",40587756,447,182011.83
"PERALES, RICHARD G (RICK)",10238847,612,181966.2
"PAPPAS, CHRISTOPHER C (CHRIS)",6394987,1202,181858.09
"SMALL, NATHAN P",8945667,587,181830.99
"MORRISON, GEANIE",13006858,179,181666.1
"LEE, THOMAS A (TOM)",2391355,246,181462.34
"HATCHETT, JAMES MATTHEW (MATT)",6688787,250,181450.15
"NICHOLLS, LEW",38601756,249,181219.58
"ROBINSON, ANDREW NELSON",39705610,593,181210.62
"CARFAGNA, RICK",2779594,398,181153.92
"LANDIS, AL",6687664,374,181150.16
"HAMILTON, JESSE E",26157857,510,181113.81
"HURLEY, MARY E.",28001298,526,180972.22
"ORSWELL, JACK E",16948007,193,180893.01
"OSBORN, LESLIE",13005045,208,180618.52
"SLATON, BRYAN",37969624,241,180227.64
"BECKER, RANDI L",13013773,350,179965.76
"WHITEHEAD, RICHARD T",28067029,420,179939.85
"GORDNER, JOHN R",13005858,406,179780.63
"DESIMONE, JOHN J",13006158,702,179624
"DICKMAN, JILL",23594371,198,179144.02
"HENDERSON, DEIDRE",10886874,227,179141.82
"HOWARD, JAHA",28748638,633,179107.36
"GJONAJ, MARK",15666200,373,178989.31
"YOUNG, DEAN",7327329,20,178766.88
"JOHN, RICK",40433894,196,178670.08
"SWEENEY, MARTIN J",3696052,378,178669.63
"SIMPSON, CORY STEWART",39705522,220,178586.63
"SCHOFIELD, CAROLYN",38445077,77,178360.17
"DESHOTEL, JOE",6396660,202,178356.37
"CLAHCHISCHILLIAGE, SHARON",6579229,205,178207.12
"HARRIS, MARK EVERETTE",23442357,177,178093.97
"TURNER III, CLARENCE ROSS",11023603,591,178090.18
"RETHERFORD, W RICHARD (WES)",10238828,282,178070.88
"LEISING, JEAN",6625456,420,177920.17
"MACRI, NICOLE",40485169,1090,177855.15
"HURLEY, FRANCES ANN",6514924,245,177782.95
"BATTS, JASON",28063203,255,177612.58
"WAITE, MICHAEL",40587974,778,177513.11
"MASON, CLARK W",9615037,245,177387.29
"PHILLIPS, LARRY",13006942,212,177346.49
"SLAGER, HAROLD (HAL)",10245986,200,177161.85
"REINEKE, BILL",26765140,356,177041
"BENNETT, TAYLOR J",31649692,346,176680
"HANNEGAN, THOMAS (TOM)",29267519,107,176621.55
"JETER JR, CHARLES ROPER",10886159,126,176568.54
"SEXTON, CAMERON",6689081,208,176544.98
"MAYER, SHELLEY B",13009306,445,176544
"LAFRANCE, SARA",9694005,63,176460
"GUTIERREZ, ROLANDO",6497204,208,176343.62
